Year,Pick,Team,Player,College,Games,Minutes,Points,Rebounds,Assists,FG%,3P%,FT%,Win Shares,WS/48,BPM,VORP,MPG,PPG,RPG,APG,Pick Range,Career Tier,Bust?,Pick Efficiency,Value Above Expected
2005,1,MIL,Andrew Bogut,Utah,706,19862,6808,6112,1546,0.535,0.12,0.557,50.6,0.122,1.2,16,28.1,9.6,8.7,2.2,Top 5,Starter,No,50.60,7.02
2005,2,ATL,Marvin Williams,UNC,1072,30159,10965,5546,1373,0.443,0.361,0.808,65.1,0.104,-0.4,12.3,28.1,10.2,5.2,1.3,Top 5,Starter,No,32.55,25.31
2005,3,UTA,Deron Williams,Illinois,845,28865,13804,2619,6819,0.445,0.357,0.822,77.3,0.129,1.9,28.3,34.2,16.3,3.1,8.1,Top 5,Starter,No,25.77,26.53
2005,4,NOP,Chris Paul,Wake Forest,1148,39673,20844,5182,10894,0.473,0.37,0.872,198.2,0.24,7.3,93.2,34.6,18.2,4.5,9.5,Top 5,Star,No,49.55,149.64
2005,5,CHA,Raymond Felton,UNC,971,28829,10853,2867,5096,0.412,0.329,0.79,40.2,0.067,-0.6,10.1,29.7,11.2,3,5.2,Top 5,Starter,No,8.04,8.84
2005,6,POR,Martell Webster,,580,13914,5056,1811,588,0.418,0.382,0.791,24.7,0.085,-0.8,4.3,24,8.7,3.1,1,Lottery,Rotation,No,4.12,-2.96
2005,7,TOR,Charlie Villanueva,UConn,656,13578,6808,3019,549,0.435,0.341,0.772,22.6,0.08,-0.6,4.7,20.7,10.4,4.6,0.8,Lottery,Rotation,No,3.23,-11.38
2005,8,NYK,Channing Frye,Arizona,890,19772,7786,4002,864,0.44,0.388,0.822,38.9,0.094,-0.4,8,22.2,8.7,4.5,1,Lottery,Starter,No,4.86,17.74
2005,9,GSW,Ike Diogu,Arizona State,225,2795,1348,689,69,0.509,0.5,0.786,6.5,0.112,-3,-0.7,12.4,6,3.1,0.3,Lottery,Minimal,Yes,0.72,-30.89
2005,10,LAL,Andrew Bynum,,418,10690,4822,3221,490,0.556,0.111,0.69,37.4,0.168,1.4,9.1,25.6,11.5,7.7,1.2,Lottery,Starter,No,3.74,10.55
2005,11,ORL,Fran Vázquez,,,,,,,,,,,,,,,,,,Lottery,Minimal,Yes,0.00,-22.70
